Front	Back	Tags
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统设计</span></div><h1>操作系统的设计目标</h1><div class=""q"">一个高质量的<span class=""blank"">______</span>应具有可靠性、高效性、易维护性、可移植性、安全性等特征。（1）可靠性：包含正确性和健壮性（鲁棒性）两个方面。影响正确性的因素主要包括<span class=""blank"">______</span>、共享以及随之带来的不确定性——并发使各指令流执行次序可任意交叉，共享导致进程对系统资源竞争，二者引起系统不确定性，要求系统动态应付随时发生的各种内外部事件；健壮性指在发生硬件故障或意外环境下仍能做出适当处理、避免严重损失。（2）高效性：重要目标是提高系统中各种资源的利用率，即提高系统运行效率，应尽量减少用于系统管理所需的时间（系统开销/时间开销）。（3）易维护性：包括易读性、易扩充性、易剪裁性、易修改性等，要求操作系统投运后便于增、删、改等维护操作。（4）可移植性：把一个<span class=""blank"">______</span>系统从一个计算机系统环境移到另一个计算机系统环境中并能正常运行的特性；设计时应把与硬件有关的部分与其他部分相对独立、设计在底层，移植时只需修改底层。（5）安全性：操作系统安全性是整个计算机系统安全性的基础，为保护用户程序和数据提供最基本的安全机制。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统设计</span></div><h1>操作系统的设计目标</h1><div class=""a"">一个高质量的<span class=""hit"">操作系统</span>应具有可靠性、高效性、易维护性、可移植性、安全性等特征。（1）可靠性：包含正确性和健壮性（鲁棒性）两个方面。影响正确性的因素主要包括<span class=""hit"">并发</span>、共享以及随之带来的不确定性——<span class=""hit"">并发</span>使各指令流执行次序可任意交叉，共享导致进程对系统资源竞争，二者引起系统不确定性，要求系统动态应付随时发生的各种内外部事件；健壮性指在发生硬件故障或意外环境下仍能做出适当处理、避免严重损失。（2）高效性：重要目标是提高系统中各种资源的利用率，即提高系统运行效率，应尽量减少用于系统管理所需的时间（系统开销/时间开销）。（3）易维护性：包括易读性、易扩充性、易剪裁性、易修改性等，要求<span class=""hit"">操作系统</span>投运后便于增、删、改等维护操作。（4）可移植性：把一个<span class=""hit"">程序</span>系统从一个计算机系统环境移到另一个计算机系统环境中并能正常运行的特性；设计时应把与硬件有关的部分与其他部分相对独立、设计在底层，移植时只需修改底层。（5）安全性：<span class=""hit"">操作系统</span>安全性是整个计算机系统安全性的基础，为保护用户<span class=""hit"">程序</span>和数据提供最基本的安全机制。</div><div class=""ansbox"">挖空答案：<b>操作系统；并发；程序</b></div><div class=""pg"">教材页码：P47</div>"	操作系统概论 领会 操作系统设计 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统设计</span></div><h1>操作系统的结构设计</h1><div class=""q"">结构是构成一个事物内部的各种基本成分以及这些基本成分之间的关系。软件结构的研究对象主要是组成软件的各部分划分原则以及它们之间的关系（通信），即软件的构成法则和组合方法。<span class=""blank"">______</span>的结构是指操作系统各部分<span class=""blank"">______</span>的存在方式及相互关系：若各部分程序以程序模块方式存在、相互之间通过调用建立联系，则具有模块接口结构；若各部分程序以<span class=""blank"">______</span>方式存在、相互之间通过通信建立联系，则具有进程结构；若能按模块调用顺序或主进程信息发送顺序把模块进程分层、各层之间只能单向依赖，则分别产生模块层次结构和进程层次结构的操作系统。操作系统结构研究的目标有三条：系统模块化、模块标准化、通信规范化。模块化是把大型系统分解为相对独立、较易掌握的成分；模块严格化后看作一组数据结构及定义在这组数据结构上的一组操作，对模块的访问只能通过这些操作完成（信息隐蔽）。模块标准化包含标准设计（模块规格划一、遵循相同构造准则）和把操作系统基本成分定型化、模块化两方面。通信规范化指模块间接口清晰划一、联系方式统一。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统设计</span></div><h1>操作系统的结构设计</h1><div class=""a"">结构是构成一个事物内部的各种基本成分以及这些基本成分之间的关系。软件结构的研究对象主要是组成软件的各部分划分原则以及它们之间的关系（通信），即软件的构成法则和组合方法。<span class=""hit"">操作系统</span>的结构是指<span class=""hit"">操作系统</span>各部分<span class=""hit"">程序</span>的存在方式及相互关系：若各部分<span class=""hit"">程序</span>以<span class=""hit"">程序</span>模块方式存在、相互之间通过调用建立联系，则具有模块接口结构；若各部分<span class=""hit"">程序</span>以<span class=""hit"">进程</span>方式存在、相互之间通过通信建立联系，则具有<span class=""hit"">进程</span>结构；若能按模块调用顺序或主<span class=""hit"">进程</span>信息发送顺序把模块<span class=""hit"">进程</span>分层、各层之间只能单向依赖，则分别产生模块层次结构和<span class=""hit"">进程</span>层次结构的<span class=""hit"">操作系统</span>。<span class=""hit"">操作系统</span>结构研究的目标有三条：系统模块化、模块标准化、通信规范化。模块化是把大型系统分解为相对独立、较易掌握的成分；模块严格化后看作一组数据结构及定义在这组数据结构上的一组操作，对模块的访问只能通过这些操作完成（信息隐蔽）。模块标准化包含标准设计（模块规格划一、遵循相同构造准则）和把<span class=""hit"">操作系统</span>基本成分定型化、模块化两方面。通信规范化指模块间接口清晰划一、联系方式统一。</div><div class=""ansbox"">挖空答案：<b>操作系统；程序；进程</b></div><div class=""pg"">教材页码：P48</div>"	操作系统概论 领会 操作系统设计 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统设计</span></div><h1>操作系统的体系结构：整体式、层次式、客户/服务器（微内核）和外核</h1><div class=""q"">常见的操作系统体系结构有整体式结构、层次式结构、客户/服务器（微内核）结构、外核结构等。（1）整体式结构（模块组合结构）：早期设计方法，先确定总体功能，分解为若干子功能，实现每个子功能的程序称为模块，再按功能逐层分解直至最基本模块，最后通过接口连接成整体。优点是结构紧密、接口简单直接、系统效率较高；缺点是模块间转接随意、互相牵连、独立性差、结构不清晰，数据作全程量使用、模块间有隐蔽关系、更换修改困难，常以大型表格为中心、采用全局中断、限制并发性、可适应性差。（2）层次式结构：把所有功能模块按功能流图调用次序排列成若干层，各层之间模块只能单向依赖或单向调用（只允许上层/外层调用下层/内层），结构清晰、不构成循环。优点是把整体问题局部化、各模块组织结构和依赖关系清晰明了，易调试、易修改、易扩充、易维护、易保证正确性；分层时把与硬件紧密相关的软件放紧靠硬件的底层，把共同使用的基本部分放内层、随操作方式改变的部分放外层，系统调用功能模块（内核）放内层。（3）客户/服务器（微内核）结构：适合网络环境下分布式处理。运行在内核态的内核只提供很小功能集合（线程调度、<span class=""blank"">______</span>、消息传递、设备驱动、原语操作、<span class=""blank"">______</span>），称微内核；其余部分分成若干相对独立的服务进程运行在用户态，客户机进程与服务器进程之间不能直接通信，必须由内核以发送消息方式传递。优点是可靠（某服务器失败不影响其他部分）、灵活（便于增加新服务、修改不影响其他部分、可维护性好）、适合分布式处理；缺点是微内核可能成为系统瓶颈，通信频繁时效率不高。（4）外核（<span class=""blank"">______</span>）结构：内核负责的主要工作仅仅为简单的申请操作以及释放和复用硬件资源，以往操作系统提供的抽象全部在用户空间运行，实现应用级资源管理（由应用程序而非操作系统管理硬件资源）；外核系统由exokernel内核和library OS组成，应用程序与library OS编译链接在一起、共用一个地址空间，应用程序可有限制地访问系统资源。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统设计</span></div><h1>操作系统的体系结构：整体式、层次式、客户/服务器（微内核）和外核</h1><div class=""a"">常见的操作系统体系结构有整体式结构、层次式结构、客户/服务器（微内核）结构、外核结构等。（1）整体式结构（模块组合结构）：早期设计方法，先确定总体功能，分解为若干子功能，实现每个子功能的程序称为模块，再按功能逐层分解直至最基本模块，最后通过接口连接成整体。优点是结构紧密、接口简单直接、系统效率较高；缺点是模块间转接随意、互相牵连、独立性差、结构不清晰，数据作全程量使用、模块间有隐蔽关系、更换修改困难，常以大型表格为中心、采用全局中断、限制并发性、可适应性差。（2）层次式结构：把所有功能模块按功能流图调用次序排列成若干层，各层之间模块只能单向依赖或单向调用（只允许上层/外层调用下层/内层），结构清晰、不构成循环。优点是把整体问题局部化、各模块组织结构和依赖关系清晰明了，易调试、易修改、易扩充、易维护、易保证正确性；分层时把与硬件紧密相关的软件放紧靠硬件的底层，把共同使用的基本部分放内层、随操作方式改变的部分放外层，系统调用功能模块（内核）放内层。（3）客户/服务器（微内核）结构：适合网络环境下分布式处理。运行在内核态的内核只提供很小功能集合（线程调度、<span class=""hit"">虚拟存储</span>、消息传递、设备驱动、原语操作、<span class=""hit"">中断处理</span>），称微内核；其余部分分成若干相对独立的服务进程运行在用户态，客户机进程与服务器进程之间不能直接通信，必须由内核以发送消息方式传递。优点是可靠（某服务器失败不影响其他部分）、灵活（便于增加新服务、修改不影响其他部分、可维护性好）、适合分布式处理；缺点是微内核可能成为系统瓶颈，通信频繁时效率不高。（4）外核（<span class=""hit"">Exokernel</span>）结构：内核负责的主要工作仅仅为简单的申请操作以及释放和复用硬件资源，以往操作系统提供的抽象全部在用户空间运行，实现应用级资源管理（由应用程序而非操作系统管理硬件资源）；外核系统由exokernel内核和library OS组成，应用程序与library OS编译链接在一起、共用一个地址空间，应用程序可有限制地访问系统资源。</div><div class=""ansbox"">挖空答案：<b>虚拟存储；中断处理；Exokernel</b></div><div class=""pg"">教材页码：P50</div>"	操作系统概论 领会 操作系统设计 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统启动</span></div><h1>操作系统的引导方式</h1><div class=""q"">操作系统的引导方式主要有两种：（1）BIOS引导：BIOS是一个<span class=""blank"">______</span>，存储在ROM芯片中。当计算机启动时，BIOS会执行硬件自检并初始化硬件配置。接下来，BIOS会根据CMOS中用户指定的硬件启动顺序，读取相应设备的启动或引导<span class=""blank"">______</span>，引导相应设备上的操作系统启动。BIOS引导使用MBR（主引导记录）分区方案，且只能在16位实模式下运行。（2）UEFI引导：UEFI是一种新型固件接口，它是采用模块化、高级语言（主要是C语言）构建的一个小型化系统。它直接利用加载EFI驱动的方式，识别系统硬件并完成硬件初始化。UEFI引导使用GPT（GUID<span class=""blank"">______</span>分区表）分区方案，且可以在32位或64位模式下运行。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统启动</span></div><h1>操作系统的引导方式</h1><div class=""a"">操作系统的引导方式主要有两种：（1）BIOS引导：BIOS是一个<span class=""hit"">程序</span>，存储在ROM芯片中。当计算机启动时，BIOS会执行硬件自检并初始化硬件配置。接下来，BIOS会根据CMOS中用户指定的硬件启动顺序，读取相应设备的启动或引导<span class=""hit"">记录</span>，引导相应设备上的操作系统启动。BIOS引导使用MBR（主引导<span class=""hit"">记录</span>）分区方案，且只能在16位实模式下运行。（2）UEFI引导：UEFI是一种新型固件接口，它是采用模块化、高级语言（主要是C语言）构建的一个小型化系统。它直接利用加载EFI驱动的方式，识别系统硬件并完成硬件初始化。UEFI引导使用GPT（GUID<span class=""hit"">磁盘</span>分区表）分区方案，且可以在32位或64位模式下运行。</div><div class=""ansbox"">挖空答案：<b>程序；记录；磁盘</b></div><div class=""pg"">教材页码：P55</div>"	操作系统概论 领会 操作系统启动 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统启动</span></div><h1>操作系统的引导过程</h1><div class=""q"">操作系统的引导过程是指将存放在硬盘上的静态的操作系统装载到内存中，并开始执行操作系统的过程。简单来说，当计算机开机时，BIOS会进行自检并检测出第一个能够引导系统的设备，比如硬盘或光驱。然后运行放在MBR扇区里的启动<span class=""blank"">______</span>，例如GRUB引导程序。GRUB引导程序通过读取配置<span class=""blank"">______</span>来获取内核和镜像<span class=""blank"">______</span>的设置及路径位置。接着把内核和镜像文件系统加载到内存中，最后加载硬件驱动程序，以及初始化进程。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统启动</span></div><h1>操作系统的引导过程</h1><div class=""a"">操作系统的引导过程是指将存放在硬盘上的静态的操作系统装载到内存中，并开始执行操作系统的过程。简单来说，当计算机开机时，BIOS会进行自检并检测出第一个能够引导系统的设备，比如硬盘或光驱。然后运行放在MBR扇区里的启动<span class=""hit"">程序</span>，例如GRUB引导<span class=""hit"">程序</span>。GRUB引导<span class=""hit"">程序</span>通过读取配置<span class=""hit"">文件</span>来获取内核和镜像<span class=""hit"">文件系统</span>的设置及路径位置。接着把内核和镜像<span class=""hit"">文件系统</span>加载到内存中，最后加载硬件驱动<span class=""hit"">程序</span>，以及初始化进程。</div><div class=""ansbox"">挖空答案：<b>程序；文件；文件系统</b></div><div class=""pg"">教材页码：P55</div>"	操作系统概论 领会 操作系统启动 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统启动</span></div><h1>操作系统的启动机制</h1><div class=""q""><span class=""blank"">______</span>的启动过程可以简单地分为四个部分：BIOS自检、系统引导、启动内核、初始化系统。当计算机开机时，BIOS程序首先将存储设备的引导记录（<span class=""blank"">______</span>）载入内存，并执行引导记录中的引导程序（<span class=""blank"">______</span>）。引导程序会将存储设备中的操作系统内核载入内存，并进入内核的入口点开始执行。然后由操作系统内核完成系统的初始化，并允许用户与操作系统进行交互。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统概论</span><span class=""chip c2"">领会</span><span class=""chip c3"">操作系统启动</span></div><h1>操作系统的启动机制</h1><div class=""a""><span class=""hit"">操作系统</span>的启动过程可以简单地分为四个部分：BIOS自检、系统引导、启动内核、初始化系统。当计算机开机时，BIOS程序首先将存储设备的引导记录（<span class=""hit"">Boot Record</span>）载入内存，并执行引导记录中的引导程序（<span class=""hit"">Boot</span>）。引导程序会将存储设备中的<span class=""hit"">操作系统</span>内核载入内存，并进入内核的入口点开始执行。然后由<span class=""hit"">操作系统</span>内核完成系统的初始化，并允许用户与<span class=""hit"">操作系统</span>进行交互。</div><div class=""ansbox"">挖空答案：<b>操作系统；Boot Record；Boot</b></div><div class=""pg"">教材页码：P55</div>"	操作系统概论 领会 操作系统启动 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">识记</span><span class=""chip c3"">计算机系统的层次结构</span></div><h1>计算机系统的层次结构</h1><div class=""q"">一个计算机系统由许多子系统组成，其中有软件也有硬件。在总体上，可以把计算机系统看成一个层次式结构。在层次结构中，所有子系统都可以包括在硬件（子）系统和软件（子）系统这两个层次中。硬件系统包括<span class=""blank"">______</span>、内存、外存储器（磁盘、磁带等）以及各种类型的<span class=""blank"">______</span>（键盘、鼠标、显示器、打印机等）；从操作系统运行环境角度看，硬件系统中最重要的是中央处理器、存储系统、中断机制、I/O技术和时钟等，硬件系统是计算机系统赖以工作的实体，可看作层次结构中的底层。软件系统可进一步划分为三个层次：①<span class=""blank"">______</span>——计算机系统中的基础软件，包括操作系统、编译系统和数据库等，其中操作系统在软件系统的最下层、邻接底层硬件，主要功能是实现资源的管理和控制程序的运行；②支撑软件——包括网络通信程序、多媒体支持软件、硬件接口程序、实用软件工具以及软件开发工具等；③应用软件——种类和用途极其广泛。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">识记</span><span class=""chip c3"">计算机系统的层次结构</span></div><h1>计算机系统的层次结构</h1><div class=""a"">一个计算机系统由许多子系统组成，其中有软件也有硬件。在总体上，可以把计算机系统看成一个层次式结构。在层次结构中，所有子系统都可以包括在硬件（子）系统和软件（子）系统这两个层次中。硬件系统包括<span class=""hit"">中央处理器</span>、内存、外存储器（磁盘、磁带等）以及各种类型的<span class=""hit"">输入输出设备</span>（键盘、鼠标、显示器、打印机等）；从操作系统运行环境角度看，硬件系统中最重要的是<span class=""hit"">中央处理器</span>、存储系统、中断机制、I/O技术和时钟等，硬件系统是计算机系统赖以工作的实体，可看作层次结构中的底层。软件系统可进一步划分为三个层次：①<span class=""hit"">系统软件</span>——计算机系统中的基础软件，包括操作系统、编译系统和数据库等，其中操作系统在软件系统的最下层、邻接底层硬件，主要功能是实现资源的管理和控制程序的运行；②支撑软件——包括网络通信程序、多媒体支持软件、硬件接口程序、实用软件工具以及软件开发工具等；③应用软件——种类和用途极其广泛。</div><div class=""ansbox"">挖空答案：<b>中央处理器；输入输出设备；系统软件</b></div><div class=""pg"">教材页码：P59</div>"	操作系统运行环境与运行机制 识记 计算机系统的层次结构 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">领会</span><span class=""chip c3"">CPU的构成与基本工作方式</span></div><h1>CPU的结构</h1><div class=""q"">CPU一般由运算器、控制器、一系列的寄存器以及高速缓存构成。运算器实现指令中的算术和逻辑运算，是计算机的计算核心。控制器负责控制程序的运行流程，包括取指令、维护CPU状态、CPU与内存的交互等。寄存器是一种暂时存储器件，用于在CPU执行指令过程中暂存数据、地址以及指令信息；在存储系统中寄存器具有最快的访问速度，比内存快得多，但因集成在微处理器芯片中造价较高、容量一般较小。高速缓存处于CPU和物理内存之间，一般由内存管理单元（MMU）管理，访问速度快于内存、低于寄存器，利用程序<span class=""blank"">______</span>使高速指令处理和低速内存访问得以匹配，大大提高CPU效率。处理器内通常有两类寄存器：一类是用户可见寄存器（包括数据寄存器/通用寄存器、地址寄存器、条件码寄存器，对所有程序可用，由机器语言直接引用）；另一类是控制和状态寄存器（用于控制处理器操作，一般由具有特权的操作系统代码使用），最常见的有<span class=""blank"">______</span>PC（记录将要取出指令的地址）、指令寄存器IR（包含最近取出的指令）、<span class=""blank"">______</span>PSW（记录处理器运行模式信息）等。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">领会</span><span class=""chip c3"">CPU的构成与基本工作方式</span></div><h1>CPU的结构</h1><div class=""a"">CPU一般由运算器、控制器、一系列的寄存器以及高速缓存构成。运算器实现指令中的算术和逻辑运算，是计算机的计算核心。控制器负责控制程序的运行流程，包括取指令、维护CPU状态、CPU与内存的交互等。寄存器是一种暂时存储器件，用于在CPU执行指令过程中暂存数据、地址以及指令信息；在存储系统中寄存器具有最快的访问速度，比内存快得多，但因集成在微处理器芯片中造价较高、容量一般较小。高速缓存处于CPU和物理内存之间，一般由内存管理单元（MMU）管理，访问速度快于内存、低于寄存器，利用程序<span class=""hit"">局部性原理</span>使高速指令处理和低速内存访问得以匹配，大大提高CPU效率。处理器内通常有两类寄存器：一类是用户可见寄存器（包括数据寄存器/通用寄存器、地址寄存器、条件码寄存器，对所有程序可用，由机器语言直接引用）；另一类是控制和状态寄存器（用于控制处理器操作，一般由具有特权的操作系统代码使用），最常见的有<span class=""hit"">程序计数器</span>PC（记录将要取出指令的地址）、指令寄存器IR（包含最近取出的指令）、<span class=""hit"">程序状态字</span>PSW（记录处理器运行模式信息）等。</div><div class=""ansbox"">挖空答案：<b>局部性原理；程序计数器；程序状态字</b></div><div class=""pg"">教材页码：P59</div>"	操作系统运行环境与运行机制 领会 CPU的构成与基本工作方式 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">领会</span><span class=""chip c3"">CPU的构成与基本工作方式</span></div><h1>特权指令和非特权指令</h1><div class=""q"">在多用户或多任务的多道程序设计环境中，指令系统中的指令必须区分成两部分：特权指令和非特权指令。特权指令是指指令系统中那些只能由操作系统使用的指令。特权指令是不允许一般用户使用的，因为如果允许用户随便使用这些指令（如设置<span class=""blank"">______</span>、启动某设备、设置中断屏蔽、设置时钟指令、清内存指令和建立<span class=""blank"">______</span>指令等），就有可能使系统陷入混乱。用户只能使用非特权指令，只有操作系统才能使用所有指令（包括特权指令和非特权指令）。如果一个用户程序需要使用特权指令，一般将引起一次处理器状态的切换，处理器通过特殊机制将处理器状态切换到操作系统运行的特权状态，然后将处理权移交给操作系统中的一段特殊代码，通常将这一过程形象地称为陷入（<span class=""blank"">______</span>）。如果某种计算机的指令系统中不能区分特权指令和非特权指令，那么在这样的硬件环境下要设计出一个具有多道程序运行的操作系统是相当困难的。至于CPU如何知道当前运行的是操作系统还是一般应用软件，则有赖于处理器状态的标识。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">领会</span><span class=""chip c3"">CPU的构成与基本工作方式</span></div><h1>特权指令和非特权指令</h1><div class=""a"">在多用户或多任务的多道程序设计环境中，指令系统中的指令必须区分成两部分：特权指令和非特权指令。特权指令是指指令系统中那些只能由操作系统使用的指令。特权指令是不允许一般用户使用的，因为如果允许用户随便使用这些指令（如设置<span class=""hit"">程序状态字</span>、启动某设备、设置中断屏蔽、设置时钟指令、清内存指令和建立<span class=""hit"">存储保护</span>指令等），就有可能使系统陷入混乱。用户只能使用非特权指令，只有操作系统才能使用所有指令（包括特权指令和非特权指令）。如果一个用户程序需要使用特权指令，一般将引起一次处理器状态的切换，处理器通过特殊机制将处理器状态切换到操作系统运行的特权状态，然后将处理权移交给操作系统中的一段特殊代码，通常将这一过程形象地称为陷入（<span class=""hit"">Trap</span>）。如果某种计算机的指令系统中不能区分特权指令和非特权指令，那么在这样的硬件环境下要设计出一个具有多道程序运行的操作系统是相当困难的。至于CPU如何知道当前运行的是操作系统还是一般应用软件，则有赖于处理器状态的标识。</div><div class=""ansbox"">挖空答案：<b>程序状态字；存储保护；Trap</b></div><div class=""pg"">教材页码：P61</div>"	操作系统运行环境与运行机制 领会 CPU的构成与基本工作方式 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">领会</span><span class=""chip c3"">CPU的构成与基本工作方式</span></div><h1>处理器的状态及其转换</h1><div class=""q"">多数系统将处理器工作状态划分为内核态和用户态。内核态一般指操作系统管理程序运行时的状态，具有较高特权级别，又称为管态、特权态、系统态或核心态；当处理器处于内核态时，全部指令（包括特权指令）可以执行，可使用所有资源，并具有改变处理器状态的能力。用户态一般指用户程序运行时的状态，具有较低特权级别，又称为目态、普通态；当处理器处于用户态时，只有<span class=""blank"">______</span>能执行。不同处理器状态的区别在于赋予运行程序的特权级别不同，可运行指令集合也不相同；一般特权级别越高可运行指令集合越大，高特权级对应的可运行指令集合包含低特权级的。CPU状态转换：（1）用户态到内核态的转换——其转换的唯一途径是中断，中断响应时交换中断向量，新中断向量中PSW的CPU状态位标记为内核态；（2）内核态到用户态的转换——可通过设置PSW指令（修改<span class=""blank"">______</span>）实现。在系统启动时CPU初始状态为内核态，然后装入操作系统程序；操作系统退出执行时让用户程序在用户态执行。用户程序中不能使用特权指令，若用户态下取到特权指令，CPU将拒绝执行并形成“<span class=""blank"">______</span>”事件，由操作系统处理。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">领会</span><span class=""chip c3"">CPU的构成与基本工作方式</span></div><h1>处理器的状态及其转换</h1><div class=""a"">多数系统将处理器工作状态划分为内核态和用户态。内核态一般指操作系统管理程序运行时的状态，具有较高特权级别，又称为管态、特权态、系统态或核心态；当处理器处于内核态时，全部指令（包括特权指令）可以执行，可使用所有资源，并具有改变处理器状态的能力。用户态一般指用户程序运行时的状态，具有较低特权级别，又称为目态、普通态；当处理器处于用户态时，只有<span class=""hit"">非特权指令</span>能执行。不同处理器状态的区别在于赋予运行程序的特权级别不同，可运行指令集合也不相同；一般特权级别越高可运行指令集合越大，高特权级对应的可运行指令集合包含低特权级的。CPU状态转换：（1）用户态到内核态的转换——其转换的唯一途径是中断，中断响应时交换中断向量，新中断向量中PSW的CPU状态位标记为内核态；（2）内核态到用户态的转换——可通过设置PSW指令（修改<span class=""hit"">程序状态字</span>）实现。在系统启动时CPU初始状态为内核态，然后装入操作系统程序；操作系统退出执行时让用户程序在用户态执行。用户程序中不能使用特权指令，若用户态下取到特权指令，CPU将拒绝执行并形成“<span class=""hit"">非法操作</span>”事件，由操作系统处理。</div><div class=""ansbox"">挖空答案：<b>非特权指令；程序状态字；非法操作</b></div><div class=""pg"">教材页码：P62</div>"	操作系统运行环境与运行机制 领会 CPU的构成与基本工作方式 13180操作系统
"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">领会</span><span class=""chip c3"">CPU的构成与基本工作方式</span></div><h1>程序状态字（PSW</h1><div class=""q"">为解决处理器当前工作状态问题，所有处理器都有一些特殊寄存器用以表明处理器当前的工作状态，其中最常见的控制和状态寄存器是<span class=""blank"">______</span>（PSW）。程序状态字的作用是指示处理器状态，用<span class=""blank"">______</span>这个专门的寄存器来指示下一条要执行的指令。处理器的状态字中通常包括以下状态代码：①CPU的工作状态代码——指明当前CPU工作状态是内核态还是用户态，用来说明当前在CPU上执行的是操作系统还是一般用户，从而决定其是否可以使用特权指令或拥有其他特殊权力；②条件码——反映指令执行后的结果特征；③中断屏蔽码——指出是否允许中断。不同机器的程序状态字格式及其包含信息都不同。以x86系列程序状态字寄存器（<span class=""blank"">______</span>）为例，包含CF进位标志位、ZF结果为零标志位、SF符号标志位、OF溢出标志位（合称标准条件位），以及TF陷阱标志位、IF中断使能（中断屏蔽）标志位、IOPL I/O特权级别等标志位。</div>"	"<div class=""top""><span class=""chip c1"">章节：操作系统运行环境与运行机制</span><span class=""chip c2"">领会</span><span class=""chip c3"">CPU的构成与基本工作方式</span></div><h1>程序状态字（PSW</h1><div class=""a"">为解决处理器当前工作状态问题，所有处理器都有一些特殊寄存器用以表明处理器当前的工作状态，其中最常见的控制和状态寄存器是<span class=""hit"">程序状态字</span>（PSW）。<span class=""hit"">程序状态字</span>的作用是指示处理器状态，用<span class=""hit"">程序计数器</span>这个专门的寄存器来指示下一条要执行的指令。处理器的状态字中通常包括以下状态代码：①CPU的工作状态代码——指明当前CPU工作状态是内核态还是用户态，用来说明当前在CPU上执行的是操作系统还是一般用户，从而决定其是否可以使用特权指令或拥有其他特殊权力；②条件码——反映指令执行后的结果特征；③中断屏蔽码——指出是否允许中断。不同机器的<span class=""hit"">程序状态字</span>格式及其包含信息都不同。以x86系列<span class=""hit"">程序状态字</span>寄存器（<span class=""hit"">EFLAGS</span>）为例，包含CF进位标志位、ZF结果为零标志位、SF符号标志位、OF溢出标志位（合称标准条件位），以及TF陷阱标志位、IF中断使能（中断屏蔽）标志位、IOPL I/O特权级别等标志位。</div><div class=""ansbox"">挖空答案：<b>程序状态字；程序计数器；EFLAGS</b></div><div class=""pg"">教材页码：P63</div>"	操作系统运行环境与运行机制 领会 CPU的构成与基本工作方式 13180操作系统
